Author,al1Null,data is scraped from sullygnome.com
average_length,average_viewers,created,followers,language,mature,partnered,streamer_name
250,148,26th Dec 2017,15748,Korean,False,True,_헤티 (hattie_cos)
355,18,26th Jul 2015,760,English,False,False,haylizzle
851,448,25th Oct 2016,18560,Korean,False,True,해기님 (he0901)
307,137,2nd Feb 2019,8105,Korean,False,True,히더지 (heeduji)
173,103,17th Sep 2015,3814,Chinese,False,False,嗨底總動員 (heidihanhan)
303,1198,3rd Jan 2017,117709,Korean,False,True,헤징 (hejin0_0)
132,93,6th Sep 2017,5053,English,False,True,hellomayuko
269,102,21st Sep 2016,18515,English,False,True,HelloMeganLee
258,34,27th Aug 2018,5204,English,False,False,herdthelambs
132,6,18th Nov 2017,741,Chinese,False,False,金魚魚魚 (heyitsgoldfishhh)
424,45,8th May 2016,2806,English,False,False,Himechin
178,1742,7th Feb 2017,107971,Korean,False,True,백설양 (hj0514)
246,32,12th Nov 2019,12509,Korean,False,False,해리잉잉 (hl1214hl)
158,433,30th Oct 2017,118491,Korean,False,True,고말숙_ (hn950421)
348,49,26th Sep 2018,2566,Korean,False,False,김홀릭 (holickk)
169,102,18th Jul 2019,4372,Japanese,False,True,HolyMolyJP
110,20,11th Oct 2019,1981,Korean,False,False,꿀설기님 (honey0805)
261,10,19th Jan 2019,771,Korean,False,False,홉이 (hope12000)
338,299,3rd Dec 2016,28709,Korean,False,True,호수0_0 (hosu0904)
379,446,22nd Nov 2016,34413,Korean,False,True,막내현진 (hyeondini)
102,4,22nd Oct 2019,155,Korean,False,False,효잇_ (hyoit_)
890,85,7th Jun 2017,4571,Korean,False,False,나잼니 (i_jam_u)
340,150,1st Feb 2018,7290,English,False,True,IamHaremi
238,1142,10th Mar 2014,189281,English,False,True,iGUMDROP
496,10,19th Aug 2019,817,Korean,False,False,카알 (iliiliililili)
149,33,21st May 2018,6986,Korean,False,False,안녕일라 (illairl)
374,1124,10th Sep 2019,70184,English,False,True,imjasmine
450,24,12th Feb 2019,667,Korean,False,False,imnotdaadaa
207,82,25th Feb 2020,3635,English,False,False,티파니티파니 (imtiffany)
180,66,7th Oct 2011,19007,English,False,True,iMuffinsx3
201,2,2nd Jan 2015,19,English,False,False,Internet_Bambi
269,88,2nd Jun 2017,4120,English,False,False,Irenealing
267,1407,6th Oct 2016,58508,Chinese,False,True,劉萱的萱 (iris522)
141,53,2nd Jan 2018,5666,English,False,False,IrisKymm
415,53,2nd Apr 2015,7412,English,False,False,IronicPseudonym
142,90,23rd May 2014,3445,English,False,True,istarxb
389,3274,24th May 2012,784766,English,False,True,itsHafu
99,2241,21st Jul 2018,162982,English,False,True,JadeyAnh
135,83,6th Jan 2019,9759,English,False,False,jagkoleen
346,85,27th Jun 2013,12114,English,False,True,JasmineMilkTea
324,164,16th Apr 2016,20086,English,False,True,Jassy
192,36,11th Aug 2019,1069,English,False,False,JayneRio
377,9,9th Oct 2019,276,Chinese,False,False,吉拿_棒 (jena014)
218,33,19th Oct 2017,2565,English,False,True,jenbaited
234,4,5th Jul 2015,204,English,False,False,JennesisXC
245,15,12th May 2018,8423,English,False,False,JENNYKIM
427,265,9th Jun 2018,26384,English,False,True,jessica
149,5,9th Apr 2019,67,English,False,False,jessicajiang107
173,105,15th May 2020,2131,English,False,False,jessicakohh
149,1433,10th Feb 2019,161517,Korean,False,True,진자림 (jinjalim)
326,47,5th Feb 2020,1751,Korean,False,False,이진지 (jinjilee)
508,4692,8th Jun 2017,334042,English,False,True,Jinnytty
270,7,24th May 2019,509,Korean,False,False,유댕댕쓰 (jjjjjjjjeong)
644,72,7th Sep 2017,15849,Korean,False,True,쫄비 (jjolbi1987)
128,194,26th Oct 2016,35180,Korean,False,True,달끼 (jjorongho)
308,17,8th Nov 2016,601,English,False,False,joannerrrzx3
493,23,14th Jul 2019,3124,Korean,False,False,돌머리에유 (joung415)
466,22,13th Apr 2013,14347,English,False,False,JUDYBEANZZ
190,39,4th Jan 2018,1901,English,False,False,Juelia
299,79,18th Jan 2016,9284,Chinese,False,False,嘿嘿543 (july_oxo)
277,119,4th Jan 2018,19213,English,False,True,JulynnLau
225,5194,1st Nov 2017,218114,Portuguese,False,True,JuMayumin
209,34,8th Apr 2017,6553,Korean,False,True,점피지니 (jumpy_jinny)
277,3,21st Apr 2020,83,Korean,False,False,정초니 (jungjjjoni)
182,49,27th Jul 2019,2561,English,False,False,juziis
222,346,18th Jan 2018,77640,English,False,True,jvna
84,25,7th May 2020,404,Korean,False,False,아현이네 (kah00412)
445,149,28th Nov 2016,53740,English,False,True,Kaia
236,111,1st Dec 2019,9429,English,False,False,kaiimae
188,299,12th Jan 2020,8603,English,False,True,kanagangtv
442,245,13th Jul 2018,13307,Korean,False,True,간장ㅎ (kanjang7)
274,75,27th Mar 2015,2584,English,False,False,karenegg
183,27,12th Nov 2019,1560,English,False,False,katiecakey
462,157,31st Oct 2018,9735,Korean,False,True,새빨간콜라 (kbr943)
166,41,8th Apr 2020,1498,English,False,False,ketisan
287,443,21st Apr 2014,83255,English,False,True,Kiaraakitty
174,5,29th Jun 2017,174,English,False,False,KillaKinz
199,19,22nd Nov 2018,1998,Korean,False,False,김러비_ (kim_lovey)
109,4,18th Mar 2014,166,English,False,False,Kimalee
384,988,5th Nov 2018,54432,Korean,False,True,김갑주 (kimgapju)
210,24,4th Apr 2015,2409,English,False,False,kimochinna
194,65,12th Dec 2017,2385,English,False,False,KimYoonyoung
405,107,16th Mar 2016,19140,Korean,False,True,윤설님 (kio0215)
244,326,6th Feb 2019,29308,Korean,False,True,기룡이 (kiryong2)
335,1050,1st Oct 2019,17204,Chinese,False,True,豆豆在這裡 (kiss_850722)
479,83,17th Nov 2018,12064,Korean,False,True,깡마 (kkangma26)
135,21,9th Jun 2019,929,Korean,False,False,도롱이이 (kkm0918)
229,162,7th Mar 2019,7979,Korean,False,True,뀨밍밍 (kkyumingming)
342,58,15th Feb 2018,1916,English,False,True,Koalli
458,53,21st Mar 2019,28475,Spanish,False,False,koemiUmi
177,4,12th Apr 2020,334,Korean,False,False,두콩22 (kongdoo_22)
133,27,7th Aug 2018,3814,Korean,False,False,쿵실이 (koongsil2)
21,2,18th Jul 2018,112,English,False,False,KoreanDomination
276,378,10th Dec 2016,55312,Korean,False,True,모잉이_ (kr_elice)
307,121,26th Apr 2015,11313,English,False,True,KrisRey
248,209,17th Sep 2018,18940,Korean,False,True,끠끼 (kuiki771)
434,1907,26th Mar 2015,172668,Korean,False,True,고차비 (kumikomii)
333,238,31st Oct 2016,105206,Korean,False,True,이춘향 (leechunhyang)
449,590,21st Oct 2016,92388,Korean,False,True,루다님_ (leehunnyeo)
208,186,23rd Sep 2015,35712,Chinese,False,True,Leejuju
168,187,10th May 2018,6697,Korean,False,False,레사_ (lessa_tv)
114,118,30th Jan 2018,1589,English,False,False,lidglue
348,428,5th Apr 2020,15092,Korean,False,False,릴펄1 (lilpearl_)
420,44,25th Aug 2016,3838,English,False,False,lilycheee
598,38,19th Dec 2016,4802,English,False,False,LilyPaddie
221,11136,6th Jun 2012,1276515,English,False,True,lilypichu
155,5,4th Dec 2018,271,English,False,False,limmyx3
299,2150,4th Jul 2019,132925,Korean,False,True,순당무 (liok0485)
367,84,26th Aug 2017,8780,English,False,True,lisabby
232,698,28th Oct 2016,127751,Korean,False,True,리타 (lita282)
313,193,25th Oct 2014,16064,English,False,True,lita426t
300,444,29th Dec 2016,36995,English,False,True,litahry
152,4,28th Jul 2019,145,English,False,False,littletunna
278,52,27th Oct 2014,13479,English,False,True,lixy
322,453,1st Nov 2016,111491,Korean,False,True,혜요 (lo10002)
492,1516,15th Dec 2016,100965,Korean,False,True,_연두부_ (lovelyyeon)
214,331,22nd Feb 2017,64961,Korean,False,True,_솔빈 (loven4862)
248,138,9th Feb 2019,12627,English,False,True,로코코_ (loverococo)
209,400,19th Jul 2017,92264,Korean,False,True,미모_ (loveseti)
200,19,6th Sep 2012,4879,English,False,True,Lubuns
450,1629,18th Jan 2016,80949,Korean,False,True,루시아 (lucia94)
312,284,14th Jul 2018,43364,Korean,False,True,러끼 (luck22222)
218,13,26th Oct 2014,457,English,False,False,lunahkuma
286,117,24th May 2019,6338,Korean,False,False,열밍_ (luvming01)
250,12,16th Oct 2018,1064,Chinese,False,False,紅豆霸 (lym_611)
295,1249,29th Jun 2017,185411,Korean,False,True,마뫄 (ma_mwa)
356,1217,17th Nov 2018,91056,Korean,False,True,마젠타_ (magenta62)
133,9,28th Apr 2017,1456,English,False,False,maidMAYMAY
231,519,16th Jul 2018,31658,Korean,False,True,막이마기 (makiymagi)
426,24,10th Dec 2018,1407,Korean,False,False,민트야 (mandumint)
123,44,26th May 2018,1959,English,False,False,Mara2ak
434,296,28th Nov 2017,56941,Korean,False,True,루코 (maruko_zzang)
139,1080,21st Nov 2013,160354,English,False,True,MaryJLeeee
